1.collectionobject.catalogNumber,"1,10.collectingevent.startDateNumericYear","1,10.collectingevent.startDate","1,9-determinations.collectionobject.determinations","1,10,30-collectors.collectingevent.collectors","1,10,30-collectors,5.agent.abbreviation","1,9-determinations,5-determiner.determination.determiner","1,9-determinations.determination.determinedDate","1,10,2.locality.localityName","1,10,2.collectingevent.locality","1,10,2,3.locality.geography","1,111-collectionobjectattachments,41.attachment.attachmentLocation"
715677,1884,02/08/1884,Taraxacum officinale (current) ,"Warming,, Eug.",,,,Præstefjeldet v. Holsteinsborg.,Præstefjeldet v. Holsteinsborg.; Greenland,Greenland,
715696,1911,01/08/1911,Taraxacum croceum (current) ,"Nordmann,, V.",,,,"V.Grónland, Nordre Strømfjord, Gammel Teltpladspaaden næstyderste Simiútat-Ø.","V.Grónland, Nordre Strømfjord, Gammel Teltpladspaaden næstyderste Simiútat-Ø.; Greenland",Greenland,
715697,1911,11/08/1911,Taraxacum croceum (current) ,"Nordmann,, V.",,,,V.Grónland: Giesecke's Sø ved Nordre Strømfjord (Sydvestlige Bred).,V.Grónland: Giesecke's Sø ved Nordre Strømfjord (Sydvestlige Bred).; Greenland,Greenland,
715700,1926,07/07/1926,Taraxacum croceum (current) ,"Porsild,, Morten",,,,"Groenl. Occid. Qeqertalik-Fjord, Naujarssuit.","Groenl. Occid. Qeqertalik-Fjord, Naujarssuit.; Greenland",Greenland,
715706,1911,01/08/1911,Taraxacum croceum (current) ,"Nordmann,, V.",,,,"V.Grónland, Nordre Strømfjord, Gammel Teltpladspaaden næstyderste Simiútat-Ø.","V.Grónland, Nordre Strømfjord, Gammel Teltpladspaaden næstyderste Simiútat-Ø.; Greenland",Greenland,
715707,1918,14/08/1918,Taraxacum croceum (current) ,"E., &",,,,"Sarqardlît, Sydsiden.","Sarqardlît, Sydsiden.; Greenland",Greenland,
715709,1909,06/1909,Taraxacum croceum (current) ,"Deichmann,, Chr.",,,,"Groenl. occid. Holstensborg. Dyrehaven"".""","Groenl. occid. Holstensborg. Dyrehaven"".""; Greenland",Greenland,
715710,1924,31/07/1924,Taraxacum croceum (current) ,"Porsild,, A.",,,,Groenl. occ. Ved Gieseckes Só.,Groenl. occ. Ved Gieseckes Só.; Greenland,Greenland,
715859,1938,30/08/1938,Taraxacum (current) ,"Sørensen, Thorvald",,,,"W Greenland, Nûgssuaq, northern part of Sarqaqdalen, Saningassoq.","W Greenland, Nûgssuaq, northern part of Sarqaqdalen, Saningassoq.; Greenland",Greenland,
715860,1911,03/08/1911,Taraxacum croceum (current) ,"Porsild,, Morten",,,,"Vest Grönland, Svartenhuk Tartusak.","Vest Grönland, Svartenhuk Tartusak.; Greenland",Greenland,
715864,1935,28/07/1935,Taraxacum croceum (current) ,"Porsild,, M.P.",,,,"Vest-Grønl. Upernivik Ø, Sandsten.","Vest-Grønl. Upernivik Ø, Sandsten.; Greenland",Greenland,
715865,1935,23/07/1935,Taraxacum croceum (current) ,"Porsild,, M.P.",,,,"Vest-Grønl. Svartenhuk Halvø, Tartûssaq Hus.","Vest-Grønl. Svartenhuk Halvø, Tartûssaq Hus.; Greenland",Greenland,
715872,1935,28/07/1935,Taraxacum croceum (current) ,"Porsild,, M.P.",,,,"Vest-Grønl. Upernivik Ø, Sandsten.","Vest-Grønl. Upernivik Ø, Sandsten.; Greenland",Greenland,
715905,1937,16/07/1937,Taraxacum croceum (current) ,"Grøntved,, Johs.",,,,"Tunnuarmiut, i Krat.","Tunnuarmiut, i Krat.; Greenland",Greenland,
